;TAL;MATRIX LEDCONVERTERS v10.8.2 (2025);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TOESTEL;TOESTEL;TOESTEL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24V DC;40082;LEDCONVERTER 24V 60W IP20 1-10V;;NO;IN&OUTDOOR;1-10V;;162,5*43*32;89%;67;2;90 - 305;24;;6,0;4,0;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24V DC;40088;LEDCONVERTER REMOTE 24V 80W IP20 DALI/TOUCHDIM;;YES;INDOOR;DALI/TOUCHDIM;;346*32*22;90%;20;2;198 - 264;24;;8,0;5,3;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24V DC;40083;LEDCONVERTER 24V 90W IP67 1-10V;;NO;IN&OUTDOOR;1-10V;;161*61*36;90%;67;2;90 - 305;24;;9,0;6,0;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24V DC;40072;LEDCONVERTER 24V 100W IP67;;NO;IN&OUTDOOR;NOT DIMMABLE;;262*66*42;92%;67;2;220 - 240;24;;10,0;6,7;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24V DC;40084;LEDCONVERTER 24V 120W IP67 1-10V;;NO;IN&OUTDOOR;1-10V;;220*68*38,8;93%;67;1;90 - 305;24;;12,0;8,0;6,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24V DC;40073;LEDCONVERTER 24V 150W IP67;;NO;IN&OUTDOOR;NOT DIMMABLE;;211*66*42;92%;67;2;220 - 240;24;;15,0;10,0;7,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48V;40067;LEDCONVERTER REMOTE 48V 70W IP20;;YES;INDOOR;NOT DIMMABLE;;210*60*36;91%;20;1;220 - 240;48;;;;;10;5;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48V;40049;LEDCONVERTER REMOTE 48V 150W IP20;;NO;INDOOR;NOT DIMMABLE;;105*90*59;90%;20;2;85 - 264;48;;;;;22;11;12;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48V;40068;LEDCONVERTER IN-TRACK 48V 100W (DALI THROUGH WIRE) IP20 BLACK;;NO;INDOOR;NOT DIMMABLE;;298*16*19;90%;20;2;176 - 264;48;;;;;14;7;8;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48V;40069;LEDCONVERTER IN-TRACK 48V 100W (DALI THROUGH WIRE) IP20 WHITE;;NO;INDOOR;NOT DIMMABLE;;298*16*19;90%;20;2;176 - 264;48;;;;;14;7;8;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180mA;930544;POWERLED CONVERTER REMOTE 180mA 7,2W IP20 MAINS DIM C ;dimlist F;YES;INDOOR;MAINS DIM C;NO;99*39*23;80%;20;2;230 - 240;20 - 40;;;;;;;;;1;;;;7-12;2-3;2;2;;1;;1;;1;2-3;2-3;1;3-4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180mA;930546;POWERLED CONVERTER REMOTE 180mA 8W IP20 1-10V;;YES;INDOOR;1-10V;YES;110*52*23,5;85%;20;2;110 - 240;6 - 42;;;;;;;;;1;1-2;1;;2-13;1-3;1-2;1-2;1-2;1;1;1;1;1;1-3;1-3;1;1-4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180mA;930565;POWERLED CONVERTER REMOTE 180mA 10W IP20 MAINS DIM LC/1-10V;dimlist S;YES;INDOOR;MAINS DIM LC 10%/1-10V;YES;101,5*51*29,5;77%;20;2;220 - 240;28 - 56;;;;;;;;;1;2-3;1;1;9-17;2-5;2;2-3;2-3;1;1;1;1;1;3-4;3-4;1;4-6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180mA;930545;POWERLED CONVERTER REMOTE 180mA 15W IP20;;YES;INDOOR;NOT DIMMABLE;;115*34*19;58%;20;2;90 - 264;0 - 41,5;;;;;;;;;1;;;;1-12;1-3;1-2;1-2;;1;;1;;1;1-3;1-3;1;1-4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180mA;930588;POWERLED CONVERTER REMOTE 180mA 15W IP20 DALI/TOUCHDIM;;YES;INDOOR;DALI/TOUCHDIM;YES;119*53*30;88%;20;2;198 - 264;20 - 54;;;;;;;;;1;2-3;1;1;7-16;2-4;2;2-3;2-3;1;1;1;1;1;2-4;2-4;1;3-5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180mA;930605;POWERLED CONVERTER REMOTE 180mA 18W IP20 MAINS DIM LC;dimlist Q;YES;INDOOR;MAINS DIM LC;YES;120*45*28;87%;20;2;220 - 240;52 - 103;;;;;;;;;2;3-6;2-3;2;17-31;5-9;3-5;3-5;3-6;2;2-3;2;2;2;5-9;5-9;2;6-9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180mA;930606;POWERLED CONVERTER REMOTE 180mA 9W IP20 CASAMBI;;YES;INDOOR;CASAMBI;YES;200*43*30;82%;20;2;198 - 264;15 - 40;;;;;;;;;1;1-2;1;;5-12;2-3;1-2;2;2;1;1;1;1;1;2-3;2-3;1;2-4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250mA;930598;POWERLED CONVERTER 250mA 5W IP65 MAINS DIM LC;dimlist N;NO;IN&OUTDOOR;MAINS DIM LC;YES;38*27*21;73%;65;2;220 - 240;12 - 24;;;;;;;;;;1;;;4-7;1;1;1;1;;;;;;1;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
260mA;930603;POWERLED CONVERTER 260mA 12W IP65 MAINS DIM LC;dimlist T;NO;IN&OUTDOOR;MAINS DIM LC;YES;dia56*25;83%;65;2;220 - 240;23 - 46;;;;;;;;;;2;1;;8-14;3-4;2;2;2;1;1;1;1;1;2-4;2-4;1;3-4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
260mA;930599;POWERLED CONVERTER REMOTE 260mA 12W IP20 1-10V;;YES;INDOOR;1-10V;YES;110*52*23,5;88%;20;2;220 - 240;6 - 42;;;;;;;;;;1-2;1;;2-13;1-3;1-2;1-2;1-2;1;1;1;1;1;1-3;1-3;1;1-4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250mA;930601;POWERLED CONVERTER REMOTE 250mA 13,5W IP20 DALI/TOUCHDIM;;YES;INDOOR;DALI/TOUCHDIM;YES;119*53*30;88%;20;2;198 - 264;12 - 54;;;;;;;;;;1-3;1;1;4-16;2-4;1-2;1-3;1-3;1;1;1;1;1;2-4;2-4;1;2-5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
